Time(fs),ZINDO,LC-DFTB,STO-3G,3-21G,6-31G,def2-SVP,def2-TZVP,def2-QZVP
0,4.721477,6.14828,6.625649,5.874724,5.784599,5.665522,5.562364,5.539071
1,4.71696,6.140844,6.62018,,,,,
2,4.712634,6.132161,6.612914,5.866479,,,,
3,4.709695,6.124199,6.605622,,,,,
4,4.708334,6.116776,6.598982,5.855485,5.766722,,,
5,4.707953,6.109257,6.592941,,,,,
6,4.707164,6.100666,6.586547,5.844056,,,,
7,4.704525,6.089868,6.578465,,,,,
8,4.698946,6.075861,6.56758,5.827539,5.739891,5.619862,,
9,4.689939,6.057967,6.553321,,,,,
10,4.678048,6.036327,6.535634,5.801824,,,,
11,4.664333,6.011873,6.515661,,,,,
12,4.650129,5.98632,6.49479,5.769552,5.682067,,,
13,4.636687,5.962138,6.474735,,,,,
14,4.624958,5.941393,6.456993,5.739265,,,,
15,4.615434,5.925293,6.442489,,,,,
16,4.608414,5.914432,6.43204,5.718857,5.631562,5.516105,5.415531,
17,4.604033,5.908814,6.425863,,,,,
18,4.602591,5.908605,6.424448,5.712761,,,,
19,4.604387,5.91406,6.428176,,,,,
20,4.609992,5.925677,6.437346,5.723809,5.636705,,,
21,4.619543,5.943536,6.452122,,,,,
22,4.632877,5.967282,6.472231,5.75249,,,,
23,4.649122,5.995518,6.496504,,,,,
24,4.666837,6.026264,6.52328,5.793498,5.706203,5.587997,,
25,4.684116,6.056795,6.550192,,,,,
26,4.699164,6.084719,6.575009,5.834505,,,,
27,4.710457,6.107865,6.595608,,,,,
28,4.717259,6.124943,6.610629,5.862288,5.774395,,,
29,4.719328,6.135117,6.619173,,,,,
30,4.717205,6.138618,6.621486,5.869744,,,,
31,4.711599,6.135922,6.618221,,,,,
32,4.703463,6.128042,6.610574,5.859267,5.771184,5.65023,5.547887,5.524458
33,4.693858,6.116306,6.59988,,,,,
34,4.684062,6.102646,6.58788,5.839757,,,,
35,4.675408,6.089414,6.576342,,,,,
36,4.669068,6.078621,6.566628,5.822831,5.735047,,,
37,4.666075,6.071781,6.559879,,,,,
38,4.666755,6.068953,6.55656,5.816301,,,,
39,4.67081,6.068909,6.556396,,,,,
40,4.67715,6.069733,6.558274,5.819403,5.732027,5.613467,,
41,4.68417,6.069649,6.560696,,,,,
42,4.689912,6.066899,6.561648,5.823267,,,,
43,4.692742,6.060436,6.559498,,,,,
44,4.691409,6.0495,6.552723,5.81679,5.730476,,,
45,4.68564,6.034243,6.540777,,,,,
46,4.676007,6.01545,6.524069,5.794396,,,,
47,4.663653,5.994217,6.503878,,,,,
48,4.650183,5.972081,6.482272,5.760925,5.675972,5.558337,5.457954,
49,4.637013,5.950853,6.461537,,,,,
50,4.625367,5.932323,6.44385,5.729251,,,,
51,4.61587,5.917666,6.43068,,,,,
52,4.609149,5.90807,6.423006,5.711482,5.627127,,,
53,4.605557,5.904108,6.421482,,,,,
54,4.605856,5.907095,6.426462,5.713795,,,,
55,4.610754,5.91826,6.438027,,,,,
56,4.620931,5.938578,6.456231,5.738204,5.653168,5.537629,,
57,4.636306,5.967279,6.480368,,,,,
58,4.655979,6.002253,6.509021,5.781035,,,,
59,4.678102,6.040537,6.540124,,,,,
60,4.700089,6.078518,6.570954,5.830723,5.744626,,,
61,4.719409,6.112719,6.598683,,,,,
62,4.734022,6.140224,6.621241,5.871322,,,,
63,4.743056,6.159406,6.63735,,,,,
64,4.746784,6.169902,6.64682,5.892465,5.805389,5.683972,5.580596,5.556595
65,4.746403,6.172736,6.65033,,,,,
66,4.743791,6.170764,6.649595,5.895323,,,,
67,4.740607,6.167298,6.646384,,,,,
68,4.738103,6.164378,6.642439,5.889608,5.80196,,,
69,4.736498,6.161807,6.638575,,,,,
70,4.734947,6.158067,6.634411,5.882288,,,,
71,4.73228,6.151432,6.628888,,,,,
72,4.727137,6.140159,6.620479,5.869853,5.78215,5.663563,,
73,4.718919,6.123523,6.608125,,,,,
74,4.707926,6.102353,6.591826,5.84607,,,,
75,4.695599,6.07907,6.572941,,,,,
76,4.683463,6.056033,6.553213,5.814804,5.728517,,,
77,4.672905,6.035358,6.534736,,,,,
78,4.664796,6.018216,6.519035,5.787076,,,,
79,4.658837,6.004412,6.506409,,,,,
80,4.654347,5.993139,6.496422,5.768926,5.684108,5.565629,5.465165,
81,4.650292,5.98314,6.487987,,,,,
82,4.645857,5.973193,6.480068,5.757034,,,,
83,4.640687,5.962822,6.471959,,,,,
84,4.635027,5.952306,6.463742,5.746231,5.661794,,,
85,4.629612,5.94281,6.456258,,,,,
86,4.625312,5.935849,6.450762,5.737415,,,,
87,4.622727,5.932511,6.448095,,,,,
88,4.622156,5.933573,6.448884,5.735156,5.650257,5.534282,,
89,4.623543,5.938972,6.45302,,,,,
90,4.626591,5.948212,6.459932,5.74136,,,,
91,4.63119,5.960858,6.469157,,,,,
92,4.637176,5.976167,6.480123,5.755048,5.669386,,,
93,4.644605,5.993865,6.492858,,,,,
94,4.653476,6.013549,6.507389,5.775973,,,,
95,4.663843,6.035088,6.524124,,,,,
96,4.675381,6.057833,6.542818,5.804899,5.719074,5.599916,5.499478,5.477301
97,4.687708,6.081141,6.563254,,,,,
98,4.700143,6.103935,6.584506,5.839702,,,,
99,4.712062,6.125106,6.605404,,,,,
100,4.722729,6.143496,6.624452,5.873771,5.787021,,,
101,4.731464,6.158328,6.640235,,,,,
102,4.737586,6.169045,6.651473,5.897581,,,,
103,4.740444,6.175174,6.657242,,,,,
104,4.739518,6.176273,6.656861,5.902806,5.815131,5.693713,,
