Time(fs),Time_ZINDO(s),Time_LC-DFTB(s),Time_STO-3G(s),Time_3-21G(s),Time_6-31G(s),Time_def2-SVP(s),Time_def2-TZVP(s),Time_def2-QZVP(s)
0,0.017617,0.26,0.413083,0.457733,0.724283,1.014317,3.665817,20.003817
1,0.0194,0.3,0.401633,,,,,
2,0.015983,0.3,0.38225,0.434667,,,,
3,0.018833,0.26,0.40985,,,,,
4,0.015933,0.25,0.39665,0.4297,0.655683,,,
5,0.017067,0.25,0.409,,,,,
6,0.017933,0.25,0.431317,0.405067,,,,
7,0.01655,0.26,0.4201,,,,,
8,0.018733,0.26,0.4303,0.403567,0.642083,0.9973,,
9,0.01985,0.26,0.413317,,,,,
10,0.01955,0.26,0.4107,0.415267,,,,
11,0.019483,0.26,0.43295,,,,,
12,0.01975,0.26,0.42035,0.40605,0.611067,,,
13,0.0193,0.26,0.420833,,,,,
14,0.018417,0.26,0.398717,0.461533,,,,
15,0.019383,0.27,0.383933,,,,,
16,0.015183,0.26,0.406767,0.400433,0.652283,1.042233,3.641967,
17,0.022983,0.26,0.43115,,,,,
18,0.021567,0.26,0.40935,0.436983,,,,
19,0.019983,0.26,0.41,,,,,
20,0.017583,0.26,0.397167,0.436833,0.617233,,,
21,0.01875,0.26,0.409467,,,,,
22,0.0199,0.26,0.3843,0.406233,,,,
23,0.01615,0.25,0.384083,,,,,
24,0.017167,0.26,0.3989,0.419267,0.605367,1.003033,,
25,0.01825,0.25,0.393717,,,,,
26,0.02065,0.25,0.411233,0.416783,,,,
27,0.016967,0.26,0.40165,,,,,
28,0.01525,0.26,0.38195,0.4058,0.622433,,,
29,0.016567,0.26,0.369733,,,,,
30,0.019217,0.26,0.368767,0.411333,,,,
31,0.01615,0.25,0.38645,,,,,
32,0.016633,0.26,0.412617,0.406083,0.645883,0.9665,3.53465,20.5442
33,0.018583,0.25,0.424483,,,,,
34,0.018133,0.25,0.419133,0.451117,,,,
35,0.017717,0.25,0.398467,,,,,
36,0.019533,0.25,0.386183,0.459017,0.615467,,,
37,0.021617,0.26,0.417867,,,,,
38,0.0201,0.26,0.417417,0.439867,,,,
39,0.019083,0.26,0.4067,,,,,
40,0.020467,0.26,0.421383,0.420333,0.617633,1.0141,,
41,0.019883,0.26,0.386733,,,,,
42,0.018017,0.26,0.432767,0.405,,,,
43,0.018883,0.26,0.425483,,,,,
44,0.0204,0.26,0.424533,0.42155,0.637867,,,
45,0.01735,0.25,0.39445,,,,,
46,0.020133,0.25,0.384717,0.422683,,,,
47,0.018133,0.24,0.38995,,,,,
48,0.017417,0.26,0.397467,0.419317,0.630017,0.957833,3.515583,
49,0.017167,0.25,0.383333,,,,,
50,0.018583,0.26,0.398733,0.44005,,,,
51,0.01685,0.26,0.429617,,,,,
52,0.018783,0.26,0.40385,0.404717,0.663883,,,
53,0.016867,0.27,0.4084,,,,,
54,0.018,0.26,0.396517,0.45745,,,,
55,0.017167,0.26,0.397883,,,,,
56,0.0189,0.27,0.412883,0.438983,0.612467,1.032883,,
